Size,Tag,Criterion,Time,Matches,Accuracy
23,12,3,9.283,35,76
23,15,3,0,35,76
23,14,2,5.541,46,100
23,12,1,0.999,24,52.1
23,1,2,5.842,46,100
23,0,3,0,34,73.9
23,13,2,4.474,46,100
23,13,0,0.783,46,100
23,13,1,0.875,46,100
23,0,2,6.745,46,100
23,0,0,11.365,26,56.5
24,0,0,0.85,48,100
